name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev,timetotrain(fitting)
Support Vector Machine,LinearSVC+CrammerSinger,0.16129032258064516,1.5161290322580645,1.064516129032258,[0.57142857 0.5        0.66666667 0.5        0.66666667],0.07468755781599104,116.8756914138794
Fit,Precision,Recall,f1-score,support
0,0.21052631578947367,0.5,0.2962962962962963,8.0
1,0.16666666666666666,0.06666666666666667,0.09523809523809522,15.0
2,0.0,0.0,0.0,8.0
accuracy,0.16129032258064516,0.16129032258064516,0.16129032258064516,0.16129032258064516
macro avg,0.12573099415204678,0.18888888888888888,0.13051146384479717,31.0
weighted avg,0.13497453310696095,0.16129032258064516,0.12254650964328383,31.0
Decision Tree Classifier,max_depth= 2,0.41935483870967744,1.1612903225806452,0.7741935483870968,0.3904761904761904,0.09110060223670949,0.006881237030029297
Fit,Precision,Recall,f1-score,support
0,0.16666666666666666,0.125,0.14285714285714288,8.0
1,0.5882352941176471,0.6666666666666666,0.625,15.0
2,0.25,0.25,0.25,8.0
accuracy,0.41935483870967744,0.41935483870967744,0.41935483870967744,0.41935483870967744
macro avg,0.3349673202614379,0.34722222222222215,0.33928571428571425,31.0
weighted avg,0.3921568627450981,0.41935483870967744,0.4038018433179723,31.0
Naive Bayes Classifier,N/A,0.41935483870967744,1.2580645161290323,0.8064516129032258,0.45714285714285713,0.13586040588273435,0.004964351654052734
Fit,Precision,Recall,f1-score,support
0,0.2222222222222222,0.25,0.23529411764705882,8.0
1,0.6428571428571429,0.6,0.6206896551724138,15.0
2,0.25,0.25,0.25,8.0
accuracy,0.41935483870967744,0.41935483870967744,0.41935483870967744,0.41935483870967744
macro avg,0.3716931216931217,0.3666666666666667,0.3686612576064909,31.0
weighted avg,0.43292370711725553,0.41935483870967744,0.425570895766538,31.0
K-Nearest Neighbor,k= 1,0.3225806451612903,0.967741935483871,0.7741935483870968,0.41428571428571426,0.23406106147513348,0.08405470848083496
Fit,Precision,Recall,f1-score,support
0,0.2857142857142857,0.25,0.26666666666666666,8.0
1,0.4,0.4,0.4000000000000001,15.0
2,0.2222222222222222,0.25,0.23529411764705882,8.0
accuracy,0.3225806451612903,0.3225806451612903,0.3225806451612903,0.3225806451612903
macro avg,0.30264550264550266,0.3,0.30065359477124187,31.0
weighted avg,0.32462877624167946,0.3225806451612903,0.3230866540164453,31.0
K-Nearest Neighbor,k= 3,0.25806451612903225,1.2258064516129032,0.9032258064516129,0.29047619047619044,0.12362623795949684,0.08499002456665039
Fit,Precision,Recall,f1-score,support
0,0.2727272727272727,0.375,0.3157894736842105,8.0
1,0.38461538461538464,0.3333333333333333,0.3571428571428571,15.0
2,0.0,0.0,0.0,8.0
accuracy,0.25806451612903225,0.25806451612903225,0.25806451612903225,0.25806451612903225
macro avg,0.2191142191142191,0.23611111111111108,0.22431077694235588,31.0
weighted avg,0.2564854500338371,0.25806451612903225,0.2543051176327916,31.0
K-Nearest Neighbor,k= 5,0.2903225806451613,1.096774193548387,0.8387096774193549,0.3238095238095238,0.1071163988495428,0.08500242233276367
Fit,Precision,Recall,f1-score,support
0,0.3,0.375,0.33333333333333326,8.0
1,0.38461538461538464,0.3333333333333333,0.3571428571428571,15.0
2,0.125,0.125,0.125,8.0
accuracy,0.2903225806451613,0.2903225806451613,0.2903225806451613,0.2903225806451613
macro avg,0.26987179487179486,0.27777777777777773,0.2718253968253968,31.0
weighted avg,0.29578163771712157,0.2903225806451613,0.29109062980030714,31.0
K-Nearest Neighbor,k= 7,0.2903225806451613,1.1935483870967742,0.8709677419354839,0.4238095238095238,0.17651193326524417,0.08451247215270996
Fit,Precision,Recall,f1-score,support
0,0.2857142857142857,0.5,0.36363636363636365,8.0
1,0.4,0.26666666666666666,0.32,15.0
2,0.14285714285714285,0.125,0.13333333333333333,8.0
accuracy,0.2903225806451613,0.2903225806451613,0.2903225806451613,0.2903225806451613
macro avg,0.27619047619047615,0.2972222222222222,0.2723232323232323,31.0
weighted avg,0.304147465437788,0.2903225806451613,0.283088954056696,31.0
K-Nearest Neighbor,k= 9,0.2903225806451613,1.1935483870967742,0.8709677419354839,0.4904761904761904,0.12103109549656033,0.09199833869934082
Fit,Precision,Recall,f1-score,support
0,0.2857142857142857,0.5,0.36363636363636365,8.0
1,0.4,0.26666666666666666,0.32,15.0
2,0.14285714285714285,0.125,0.13333333333333333,8.0
accuracy,0.2903225806451613,0.2903225806451613,0.2903225806451613,0.2903225806451613
macro avg,0.27619047619047615,0.2972222222222222,0.2723232323232323,31.0
weighted avg,0.304147465437788,0.2903225806451613,0.283088954056696,31.0
K-Nearest Neighbor,k= 11,0.25806451612903225,1.4193548387096775,0.967741935483871,0.48571428571428577,0.02857142857142858,0.09205150604248047
Fit,Precision,Recall,f1-score,support
0,0.25,0.5,0.3333333333333333,8.0
1,0.4444444444444444,0.26666666666666666,0.33333333333333337,15.0
2,0.0,0.0,0.0,8.0
accuracy,0.25806451612903225,0.25806451612903225,0.25806451612903225,0.25806451612903225
macro avg,0.23148148148148148,0.25555555555555554,0.22222222222222224,31.0
weighted avg,0.27956989247311825,0.25806451612903225,0.24731182795698928,31.0
K-Nearest Neighbor,k= 13,0.25806451612903225,1.3225806451612903,0.9354838709677419,0.45714285714285713,0.08571428571428573,0.09199762344360352
Fit,Precision,Recall,f1-score,support
0,0.26666666666666666,0.5,0.3478260869565218,8.0
1,0.4,0.26666666666666666,0.32,15.0
2,0.0,0.0,0.0,8.0
accuracy,0.25806451612903225,0.25806451612903225,0.25806451612903225,0.25806451612903225
