name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev,timetotrain(fitting)
Fit,Precision,Recall,f1-score,support,,,
0,0.570196078,0.861374408,0.686172723,1688,,,
1,0.774125133,0.523297491,0.624465355,1395,,,
2,0.872628726,0.56097561,0.682926829,1148,,,
accuracy,0.668399905,0.668399905,0.668399905,0.668399905,,,
macro avg,0.738983312,0.648549169,0.664521636,4231,,,
weighted avg,0.71949263,0.668399905,0.66494652,4231,,,
K-Nearest Neighbor,k= 45,0.671236114,0.697471047,0.451666273,0.610495952,0.010591414,0.108998537
Fit,Precision,Recall,f1-score,support,,,
0,0.571261226,0.866706161,0.688632619,1688,,,
1,0.780513919,0.522580645,0.626019751,1395,,,
2,0.880434783,0.56445993,0.687898089,1148,,,
accuracy,0.671236114,0.671236114,0.671236114,0.671236114,,,
macro avg,0.744069976,0.651248912,0.66751682,4231,,,
weighted avg,0.724142046,0.671236114,0.667789275,4231,,,
K-Nearest Neighbor,k= 47,0.669581659,0.701961711,0.454266131,0.613098657,0.012653774,0.088028669
Fit,Precision,Recall,f1-score,support,,,
0,0.570151574,0.869075829,0.688570758,1688,,,
1,0.781621622,0.51827957,0.623275862,1395,,,
2,0.877216917,0.56010453,0.683678894,1148,,,
accuracy,0.669581659,0.669581659,0.669581659,0.669581659,,,
macro avg,0.742996704,0.64915331,0.665175171,4231,,,
weighted avg,0.723191453,0.669581659,0.665715112,4231,,,
K-Nearest Neighbor,k= 49,0.671472465,0.69510754,0.45072087,0.611206846,0.009319225,0.086998463
Fit,Precision,Recall,f1-score,support,,,
0,0.571876224,0.86492891,0.688516859,1688,,,
1,0.778846154,0.522580645,0.625482625,1395,,,
2,0.878706199,0.567944251,0.68994709,1148,,,
accuracy,0.671472465,0.671472465,0.671472465,0.671472465,,,
macro avg,0.743142859,0.651817935,0.667982192,4231,,,
weighted avg,0.72336851,0.671472465,0.668121952,4231,,,
K-Nearest Neighbor,k= 51,0.670054361,0.703616166,0.454502482,0.607661026,0.010656467,0.0890522
Fit,Precision,Recall,f1-score,support,,,
0,0.56970405,0.866706161,0.6875,1688,,,
1,0.785249458,0.518996416,0.624946051,1395,,,
2,0.874493927,0.56445993,0.68607729,1148,,,
accuracy,0.670054361,0.670054361,0.670054361,0.670054361,,,
macro avg,0.743149145,0.650054169,0.666174447,4231,,,
weighted avg,0.72347021,0.670054361,0.666489357,4231,,,
K-Nearest Neighbor,k= 53,0.669581659,0.701961711,0.454266131,0.610970439,0.012371933,0.085030317
Fit,Precision,Recall,f1-score,support,,,
0,0.569045772,0.869075829,0.687763713,1688,,,
1,0.784078517,0.515412186,0.621972318,1395,,,
2,0.879076087,0.56358885,0.686836518,1148,,,
accuracy,0.669581659,0.669581659,0.669581659,0.669581659,,,
macro avg,0.744066792,0.649358955,0.665524183,4231,,,
weighted avg,0.724064794,0.669581659,0.665820103,4231,,,
K-Nearest Neighbor,k= 55,0.66981801,0.702434413,0.454266131,0.607899386,0.01437057,0.089999199
Fit,Precision,Recall,f1-score,support,,,
0,0.569492838,0.871445498,0.688831655,1688,,,
1,0.787047201,0.513978495,0.621856028,1395,,,
2,0.876526459,0.56271777,0.685411141,1148,,,
accuracy,0.66981801,0.66981801,0.66981801,0.66981801,,,
macro avg,0.744355499,0.649380587,0.665366275,4231,,,
weighted avg,0.724530165,0.66981801,0.665821078,4231,,,
K-Nearest Neighbor,k= 57,0.667218152,0.707161428,0.457575041,0.60671512,0.010094729,0.106998682
Fit,Precision,Recall,f1-score,support,,,
0,0.566679552,0.868483412,0.685847953,1688,,,
1,0.782656422,0.511111111,0.618386817,1395,,,
2,0.878581173,0.56097561,0.684742158,1148,,,
accuracy,0.667218152,0.667218152,0.667218152,0.667218152,,,
macro avg,0.742639049,0.646856711,0.66299231,4231,,,
weighted avg,0.722517603,0.667218152,0.663305354,4231,,,
K-Nearest Neighbor,k= 59,0.672181517,0.697943749,0.451193571,0.604352171,0.011447282,0.105051994
Fit,Precision,Recall,f1-score,support,,,
0,0.569727238,0.878554502,0.691214169,1688,,,
1,0.79185022,0.515412186,0.624402953,1395,,,
2,0.891666667,0.559233449,0.687366167,1148,,,
accuracy,0.672181517,0.672181517,0.672181517,0.672181517,,,
macro avg,0.751081375,0.651066713,0.667661096,4231,,,
weighted avg,0.730315284,0.672181517,0.66814181,4231,,,
K-Nearest Neighbor,k= 61,0.669581659,0.706216025,0.455684235,0.60671512,0.013233176,0.090001106
Fit,Precision,Recall,f1-score,support,,,
0,0.56770234,0.876777251,0.689173458,1688,,,
1,0.789878988,0.514695341,0.623263889,1395,,,
2,0.888111888,0.553135889,0.681696189,1148,,,
accuracy,0.669581659,0.669581659,0.669581659,0.669581659,,,
macro avg,0.748564405,0.648202827,0.664711178,4231,,,
weighted avg,0.727892977,0.669581659,0.665413648,4231,,,
K-Nearest Neighbor,k= 63,0.666272749,0.714488301,0.460647601,0.603170975,0.014507751,0.09300065
Fit,Precision,Recall,f1-score,support,,,
0,0.564701378,0.873815166,0.686046512,1688,,,
1,0.787610619,0.510394265,0.619399739,1395,,,
2,0.883916084,0.550522648,0.678475577,1148,,,
accuracy,0.666272749,0.666272749,0.666272749,0.666272749,,,
macro avg,0.745409361,0.644910693,0.661307276,4231,,,
weighted avg,0.724809361,0.666272749,0.662018225,4231,,,
K-Nearest Neighbor,k= 65,0.669345308,0.709997636,0.45710234,0.604350217,0.013547091,0.08905077
Fit,Precision,Recall,f1-score,support,,,
0,0.566730402,0.877962085,0.688821752,1688,,,
1,0.794019934,0.513978495,0.624020888,1395,,,
2,0.887798036,0.551393728,0.68027942,1148,,,
accuracy,0.669345308,0.669345308,0.669345308,0.669345308,,,
macro avg,0.749516124,0.647778103,0.66437402,4231,,,
weighted avg,0.728785363,0.669345308,0.665138509,4231,,,
K-Nearest Neighbor,k= 67,0.667927204,0.716379107,0.4601749,0.604350217,0.011993462,0.092049122
Fit,Precision,Recall,f1-score,support,,,
0,0.564935065,0.876184834,0.686948444,1688,,,
1,0.796875,0.511827957,0.623308599,1395,,,
2,0.882845188,0.551393728,0.678820375,1148,,,
accuracy,0.667927204,0.667927204,0.667927204,0.667927204,,,
macro avg,0.748218418,0.64646884,0.663025806,4231,,,
weighted avg,0.727666578,0.667927204,0.663760402,4231,,,
K-Nearest Neighbor,k= 69,0.671472465,0.705034271,0.45402978,0.601514175,0.009370678,0.108999252
Fit,Precision,Recall,f1-score,support,,,
0,0.568364611,0.879146919,0.690393115,1688,,,
1,0.797117517,0.515412186,0.626033957,1395,,,
2,0.888579387,0.555749129,0.683815648,1148,,,
accuracy,0.671472465,0.671472465,0.671472465,0.671472465,,,
macro avg,0.751353838,0.650102745,0.666747573,4231,,,
weighted avg,0.730670654,0.671472465,0.667388634,4231,,,
K-Nearest Neighbor,k= 71,0.668636256,0.707161428,0.456629638,0.600334654,0.014296914,0.08599782
Fit,Precision,Recall,f1-score,support,,,
0,0.565749235,0.876777251,0.687732342,1688,,,
1,0.790878754,0.509677419,0.619877942,1395,,,
2,0.891061453,0.555749129,0.684549356,1148,,,
accuracy,0.668636256,0.668636256,0.668636256,0.668636256,,,
macro avg,0.749229814,0.647401266,0.664053214,4231,,,
weighted avg,0.728243706,0.668636256,0.664496475,4231,,,
K-Nearest Neighbor,k= 73,0.669345308,0.709288584,0.456865989,0.601516966,0.013074902,0.114997625
Fit,Precision,Recall,f1-score,support,,,
0,0.565648855,0.877962085,0.688022284,1688,,,
1,0.795758929,0.511111111,0.622435618,1395,,,
2,0.890909091,0.554878049,0.683843264,1148,,,
accuracy,0.669345308,0.669345308,0.669345308,0.669345308,,,
macro avg,0.750772291,0.647983748,0.664767055,4231,,,
weighted avg,0.729771356,0.669345308,0.665263855,4231,,,
K-Nearest Neighbor,k= 75,0.669345308,0.709288584,0.456865989,0.601278605,0.009160677,0.087045193
Fit,Precision,Recall,f1-score,support,,,
0,0.565864834,0.877962085,0.688182029,1688,,,
1,0.794444444,0.512544803,0.623093682,1395,,,
2,0.891853933,0.553135889,0.682795699,1148,,,
accuracy,0.669345308,0.669345308,0.669345308,0.669345308,,,
macro avg,0.75072107,0.647880926,0.66469047,4231,,,
weighted avg,0.72968049,0.669345308,0.66526032,4231,,,
K-Nearest Neighbor,k= 77,0.670999764,0.707634129,0.455211534,0.600568269,0.010343974,0.094033241
Fit,Precision,Recall,f1-score,support,,,
0,0.566857143,0.881516588,0.690006956,1688,,,
1,0.79800222,0.515412186,0.62630662,1395,,,
2,0.896453901,0.550522648,0.682137075,1148,,,
accuracy,0.670999764,0.670999764,0.670999764,0.670999764,,,
macro avg,0.753771088,0.649150474,0.666150217,4231,,,
weighted avg,0.732497526,0.670999764,0.666869024,4231,,,
K-Nearest Neighbor,k= 79,0.671708816,0.71117939,0.455920586,0.602223115,0.009558689,0.082997084
Fit,Precision,Recall,f1-score,support,,,
0,0.565759637,0.886848341,0.690816797,1688,,,
1,0.808126411,0.513261649,0.627794827,1395,,,
2,0.899856938,0.547909408,0.681104494,1148,,,
accuracy,0.671708816,0.671708816,0.671708816,0.671708816,,,
macro avg,0.757914329,0.649339799,0.666572039,4231,,,
weighted avg,0.736321053,0.671708816,0.667402623,4231,,,
K-Nearest Neighbor,k= 81,0.66981801,0.710943039,0.45710234,0.596785763,0.009519358,0.100046158
Fit,Precision,Recall,f1-score,support,,,
0,0.564656807,0.882109005,0.688554913,1688,,,
1,0.802259887,0.508960573,0.622807018,1395,,,
2,0.895627645,0.553135889,0.683898761,1148,,,
accuracy,0.66981801,0.66981801,0.66981801,0.66981801,,,
macro avg,0.754181446,0.648068489,0.665086897,4231,,,
weighted avg,0.732799284,0.66981801,0.665613865,4231,,,
K-Nearest Neighbor,k= 83,0.669108958,0.714488301,0.458756795,0.599858212,0.006409366,0.094038248
Fit,Precision,Recall,f1-score,support,,,
0,0.564853556,0.879739336,0.687977762,1688,,,
1,0.796460177,0.516129032,0.626359287,1395,,,
2,0.896848138,0.545296167,0.678223185,1148,,,
accuracy,0.669108958,0.669108958,0.669108958,0.669108958,,,
macro avg,0.752720624,0.647054845,0.664186745,4231,,,
weighted avg,0.731296718,0.669108958,0.665014863,4231,,,
K-Nearest Neighbor,k= 85,0.667218152,0.718506263,0.461356653,0.594658941,0.00437523,0.089998245
Fit,Precision,Recall,f1-score,support,,,
0,0.56294896,0.882109005,0.687283637,1688,,,
1,0.795986622,0.511827957,0.623036649,1395,,,
2,0.899854862,0.540069686,0.675013609,1148,,,
accuracy,0.667218152,0.667218152,0.667218152,0.667218152,,,
macro avg,0.752930148,0.644668883,0.661777965,4231,,,
weighted avg,0.731196541,0.667218152,0.662771574,4231,,,
K-Nearest Neighbor,k= 87,0.667927204,0.72063342,0.461593004,0.59631295,0.006790416,0.089004755
Fit,Precision,Recall,f1-score,support,,,
0,0.563257576,0.880924171,0.68715342,1688,,,
1,0.796909492,0.517562724,0.627553238,1395,,,
2,0.900729927,0.537456446,0.673213312,1148,,,
accuracy,0.667927204,0.667927204,0.667927204,0.667927204,,,
macro avg,0.753632332,0.645314447,0.66263999,4231,,,
weighted avg,0.731861377,0.667927204,0.663720307,4231,,,
K-Nearest Neighbor,k= 89,0.660600331,0.733632711,0.470810683,0.594658941,0.006528065,0.094047546
Fit,Precision,Recall,f1-score,support,,,
0,0.558377559,0.872630332,0.680998613,1688,,,
1,0.783278328,0.510394265,0.618055556,1395,,,
2,0.891812865,0.531358885,0.665938865,1148,,,
accuracy,0.660600331,0.660600331,0.660600331,0.660600331,,,
macro avg,0.744489584,0.638127827,0.654997678,4231,,,
weighted avg,0.723000651,0.660600331,0.656159531,4231,,,
K-Nearest Neighbor,k= 91,0.662254786,0.728432995,0.467974474,0.591585097,0.00553002,0.08702445
Fit,Precision,Recall,f1-score,support,,,
0,0.559712774,0.877369668,0.683433318,1688,,,
1,0.788182832,0.506810036,0.616928447,1395,,,
2,0.89244186,0.534843206,0.668845316,1148,,,
accuracy,0.662254786,0.662254786,0.662254786,0.662254786,,,
macro avg,0.746779155,0.639674303,0.65640236,4231,,,
weighted avg,0.725321075,0.662254786,0.657547872,4231,,,
K-Nearest Neighbor,k= 93,0.663909241,0.719688017,0.463956511,0.591112842,0.006049131,0.096045256
Fit,Precision,Recall,f1-score,support,,,
0,0.560966402,0.880331754,0.685266313,1688,,,
1,0.785555556,0.506810036,0.616122004,1395,,,
2,0.903225806,0.536585366,0.673224044,1148,,,
accuracy,0.663909241,0.663909241,0.663909241,0.663909241,,,
macro avg,0.749915921,0.641242385,0.65820412,4231,,,
weighted avg,0.727881,0.663909241,0.659201355,4231,,,
K-Nearest Neighbor,k= 95,0.664145592,0.721578823,0.464429213,0.591348411,0.007769099,0.091995001
Fit,Precision,Recall,f1-score,support,,,
0,0.561483163,0.879146919,0.68529208,1688,,,
1,0.787777778,0.508243728,0.617864924,1395,,,
2,0.896802326,0.537456446,0.67211329,1148,,,
accuracy,0.664145592,0.664145592,0.664145592,0.664145592,,,
macro avg,0.748687755,0.641615698,0.658423431,4231,,,
weighted avg,0.727076967,0.664145592,0.659484911,4231,,,
K-Nearest Neighbor,k= 97,0.662491137,0.728196644,0.467738123,0.589457995,0.008642398,0.085239649
Fit,Precision,Recall,f1-score,support,,,
0,0.559532781,0.879739336,0.684016582,1688,,,
1,0.7890625,0.506810036,0.61719773,1395,,,
2,0.897209985,0.532229965,0.668124658,1148,,,
accuracy,0.662491137,0.662491137,0.662491137,0.662491137,,,
macro avg,0.748601755,0.639593112,0.656446324,4231,,,
weighted avg,0.726833038,0.662491137,0.65767382,4231,,,
K-Nearest Neighbor,k= 99,0.662727488,0.73008745,0.468210825,0.589222984,0.009023073,0.091726542
Fit,Precision,Recall,f1-score,support,,,
0,0.560406473,0.882109005,0.685385501,1688,,,
1,0.791294643,0.508243728,0.618943693,1395,,,
2,0.89380531,0.527874564,0.663745893,1148,,,
accuracy,0.662727488,0.662727488,0.662727488,0.662727488,,,
macro avg,0.748502142,0.639409099,0.656025029,4231,,,
weighted avg,0.726993772,0.662727488,0.65760753,4231,,,
K-Nearest Neighbor,k= 101,0.663672891,0.72701489,0.46655637,0.590405017,0.012175821,0.086050987
Fit,Precision,Recall,f1-score,support,,,
0,0.561297624,0.881516588,0.685872321,1688,,,
1,0.789590255,0.511111111,0.6205396,1395,,,
2,0.896602659,0.528745645,0.665205479,1148,,,
accuracy,0.663672891,0.663672891,0.663672891,0.663672891,,,
macro avg,0.749163512,0.640457781,0.6572058,4231,,,
weighted avg,0.727546359,0.663672891,0.658723968,4231,,,
K-Nearest Neighbor,k= 103,0.661782085,0.729614748,0.468683526,0.588041509,0.011897058,0.08305645
Fit,Precision,Recall,f1-score,support,,,
0,0.558713538,0.88507109,0.685006878,1688,,,
1,0.791855204,0.501792115,0.61430452,1395,,,
2,0.900445765,0.527874564,0.665568369,1148,,,
accuracy,0.661782085,0.661782085,0.661782085,0.661782085,,,
macro avg,0.750338169,0.638245923,0.654959922,4231,,,
weighted avg,0.72830494,0.661782085,0.65642139,4231,,,
K-Nearest Neighbor,k= 105,0.660836682,0.734105412,0.470810683,0.584968502,0.013304449,0.100999594
Fit,Precision,Recall,f1-score,support,,,
0,0.558008982,0.883293839,0.683944954,1688,,,
1,0.790123457,0.504659498,0.61592301,1395,,,
2,0.899700599,0.523519164,0.661894273,1148,,,
accuracy,0.660836682,0.660836682,0.660836682,0.660836682,,,
macro avg,0.749277679,0.6371575,0.653920746,4231,,,
weighted avg,0.72725069,0.660836682,0.655534461,4231,,,
K-Nearest Neighbor,k= 107,0.660836682,0.736941621,0.471756086,0.583548946,0.009806426,0.090048075
Fit,Precision,Recall,f1-score,support,,,
0,0.557383178,0.883293839,0.683474673,1688,,,
1,0.791713326,0.506810036,0.618006993,1395,,,
2,0.901960784,0.520905923,0.660408614,1148,,,
accuracy,0.660836682,0.660836682,0.660836682,0.660836682,,,
macro avg,0.750352429,0.637003266,0.653963427,4231,,,
weighted avg,0.728138472,0.660836682,0.655630842,4231,,,
K-Nearest Neighbor,k= 109,0.658473174,0.74285039,0.475301347,0.580241486,0.01183716,0.116133213
Fit,Precision,Recall,f1-score,support,,,
0,0.555306428,0.880331754,0.681026581,1688,,,
1,0.789237668,0.504659498,0.615653695,1395,,,
2,0.898944193,0.519163763,0.65819989,1148,,,
accuracy,0.658473174,0.658473174,0.658473174,0.658473174,,,
macro avg,0.74782943,0.634718338,0.651626722,4231,,,
weighted avg,0.72567519,0.658473174,0.653278952,4231,,,
K-Nearest Neighbor,k= 111,0.659418577,0.742614039,0.474592295,0.580003963,0.010563692,0.114999294
Fit,Precision,Recall,f1-score,support,,,
0,0.55613577,0.883293839,0.682536049,1688,,,
1,0.793025872,0.505376344,0.617338004,1395,,,
2,0.898638427,0.517421603,0.656716418,1148,,,
accuracy,0.659418577,0.659418577,0.659418577,0.659418577,,,
macro avg,0.74926669,0.635363929,0.652196824,4231,,,
weighted avg,0.727172107,0.659418577,0.654033991,4231,,,
K-Nearest Neighbor,k= 113,0.66036398,0.738832427,0.472701489,0.58236775,0.011368452,0.09803319
Fit,Precision,Recall,f1-score,support,,,
0,0.557174888,0.883293839,0.683318057,1688,,,
1,0.793686584,0.504659498,0.617002629,1395,,,
2,0.896706587,0.521777003,0.65969163,1148,,,
accuracy,0.66036398,0.66036398,0.66036398,0.66036398,,,
macro avg,0.749189353,0.63657678,0.653337439,4231,,,
weighted avg,0.727280349,0.66036398,0.655042671,4231,,,
K-Nearest Neighbor,k= 115,0.660836682,0.738359726,0.472228788,0.576932073,0.01070563,0.077995539
Fit,Precision,Recall,f1-score,support,,,
0,0.557419836,0.885663507,0.684210526,1688,,,
1,0.796821793,0.503225806,0.616871705,1395,,,
2,0.896706587,0.521777003,0.65969163,1148,,,
accuracy,0.660836682,0.660836682,0.660836682,0.660836682,,,
macro avg,0.750316072,0.636888772,0.653591287,4231,,,
weighted avg,0.728411781,0.660836682,0.655355563,4231,,,
K-Nearest Neighbor,k= 117,0.662018435,0.73646892,0.470810683,0.579296139,0.01523358,0.114994526
Fit,Precision,Recall,f1-score,support,,,
0,0.557871232,0.888033175,0.685257143,1688,,,
1,0.801832761,0.501792115,0.617283951,1395,,,
