name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev
Support Vector Machine,N/A,0.3333333333333333,1.7066666666666668,1.0133333333333334,0.2866666666666667,0.077746025264604
Decision Tree Classifier,max_depth= 2,0.34,1.68,1.0,0.26666666666666666,0.036514837167011066
K-Nearest Neighbor,k= 1,0.34,1.38,0.9,0.2733333333333333,0.07118052168020873
K-Nearest Neighbor,k= 3,0.32666666666666666,1.4933333333333334,0.9466666666666667,0.36,0.09285592184789412
K-Nearest Neighbor,k= 5,0.30666666666666664,1.6133333333333333,1.0,0.31333333333333335,0.08326663997864531
K-Nearest Neighbor,k= 7,0.3,1.7,1.0333333333333334,0.2866666666666667,0.08589399151150084
K-Nearest Neighbor,k= 9,0.34,1.68,1.0,0.2733333333333333,0.10624918300339485
K-Nearest Neighbor,k= 11,0.32666666666666666,1.7333333333333334,1.0266666666666666,0.23333333333333334,0.13824294235551815
K-Nearest Neighbor,k= 13,0.32666666666666666,1.7333333333333334,1.0266666666666666,0.28,0.14079141387961916
K-Nearest Neighbor,k= 15,0.3333333333333333,1.7066666666666668,1.0133333333333334,0.30666666666666664,0.12892719737209143
K-Nearest Neighbor,k= 17,0.32666666666666666,1.7333333333333334,1.0266666666666666,0.23333333333333334,0.09189365834726813
K-Nearest Neighbor,k= 19,0.3333333333333333,1.7066666666666668,1.0133333333333334,0.21333333333333332,0.07483314773547882
Naive Bayes Classifier,N/A,0.26666666666666666,1.7733333333333334,1.08,0.31333333333333335,0.03399346342395189
