name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev
Support Vector Machine,N/A,0.3333333333333333,1.6666666666666667,1.0,0.40285714285714286,0.12633325256221278
Decision Tree Classifier,max_depth= 2,0.3333333333333333,1.6666666666666667,1.0,0.3304761904761905,0.14811284537806435
K-Nearest Neighbor,k= 1,0.2916666666666667,1.5416666666666667,0.9861111111111112,0.3771428571428571,0.1367388228300004
K-Nearest Neighbor,k= 3,0.2777777777777778,1.6388888888888888,1.0277777777777777,0.3857142857142857,0.14154957145515604
K-Nearest Neighbor,k= 5,0.3194444444444444,1.7222222222222223,1.0277777777777777,0.4161904761904761,0.11647116759017484
K-Nearest Neighbor,k= 7,0.3333333333333333,1.6666666666666667,1.0,0.38666666666666666,0.1039535915990843
K-Nearest Neighbor,k= 9,0.3333333333333333,1.6666666666666667,1.0,0.40285714285714286,0.06711414448551568
K-Nearest Neighbor,k= 11,0.3333333333333333,1.6666666666666667,1.0,0.41428571428571426,0.13061862229328527
K-Nearest Neighbor,k= 13,0.3333333333333333,1.6666666666666667,1.0,0.3457142857142857,0.19812270871798257
K-Nearest Neighbor,k= 15,0.3333333333333333,1.6666666666666667,1.0,0.2914285714285714,0.09304133136624619
K-Nearest Neighbor,k= 17,0.3333333333333333,1.6666666666666667,1.0,0.30761904761904757,0.13568002909339524
K-Nearest Neighbor,k= 19,0.3472222222222222,1.6111111111111112,0.9722222222222222,0.3485714285714286,0.16488572281219982
Naive Bayes Classifier,N/A,0.3611111111111111,1.4305555555555556,0.9027777777777778,0.2904761904761905,0.07565286517423049
