name,subname,accuracy,rmse,mae
Support Vector Machine,linear,0.17724550898203592,4.835528942115769,1.7512974051896208
Support Vector Machine,poly,0.17405189620758482,3.9481037924151696,1.6151696606786428
Support Vector Machine,rbf,0.1784431137724551,5.19441117764471,1.7796407185628742
Support Vector Machine,sigmoid,0.1473053892215569,7.086626746506986,2.1101796407185627
K-Nearest Neighbor,k= 89,0.19610778443113772,5.62375249500998,1.8383233532934131
Naive Bayes Classifier,N/A,0.17005988023952096,6.180439121756487,1.9544910179640718
Decision Tree Classifier,max_depth=2,0.18083832335329342,5.823552894211577,1.8842315369261478
