name,subname,accuracy,rmse,mae
Support Vector Machine,linear,0.6075848303393213,0.39600798403193616,0.3936127744510978
Support Vector Machine,poly,0.4622754491017964,0.7596806387225549,0.6071856287425149
Support Vector Machine,rbf,0.4818363273453094,0.6415169660678642,0.5584830339321357
Support Vector Machine,sigmoid,0.12894211576846307,7.009181636726547,2.241916167664671
K-Nearest Neighbor,k= 89,0.5558882235528942,0.48902195608782434,0.4590818363273453
Naive Bayes Classifier,N/A,0.5193612774451097,0.575249500998004,0.5121756487025948
Decision Tree Classifier,max_depth=2,0.4307385229540918,0.8407185628742515,0.6554890219560878
