name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev,timetotrain(fitting)
Support Vector Machine (SVC),Decision Function Shape: ovo,0.05555555555555555,0.9444444444444444,0.9444444444444444,0.7070915169080182,0.17300605617649298,103.7859799861908
Fit,Precision,Recall,f1-score,support
0,0.0,0.0,0.0,3.0
1,0.14285714285714285,0.08333333333333333,0.10526315789473685,12.0
2,0.0,0.0,0.0,3.0
accuracy,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
macro avg,0.047619047619047616,0.027777777777777776,0.03508771929824562,18.0
weighted avg,0.09523809523809523,0.05555555555555555,0.07017543859649124,18.0
First Row,Second Row,Third Row
0,0,5,0
1,3,1,3
2,0,6,0
First Row,Second Row,Third Row
0,0.0,0.4166666666666667,0.0
1,1.0,0.08333333333333333,1.0
2,0.0,0.5,0.0
Support Vector Machine (SVC),Decision Function Shape: ovr,0.05555555555555555,0.9444444444444444,0.9444444444444444,0.7070915169080182,0.17300605617649298,185.99305987358093
Fit,Precision,Recall,f1-score,support
0,0.0,0.0,0.0,3.0
1,0.14285714285714285,0.08333333333333333,0.10526315789473685,12.0
2,0.0,0.0,0.0,3.0
accuracy,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
macro avg,0.047619047619047616,0.027777777777777776,0.03508771929824562,18.0
weighted avg,0.09523809523809523,0.05555555555555555,0.07017543859649124,18.0
First Row,Second Row,Third Row
0,0,5,0
1,3,1,3
2,0,6,0
First Row,Second Row,Third Row
0,0.0,0.4166666666666667,0.0
1,1.0,0.08333333333333333,1.0
2,0.0,0.5,0.0
