name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev
Support Vector Machine,N/A,0.3333333333333333,1.6666666666666667,1.0,0.29333333333333333,0.1495147100658564
Decision Tree Classifier,max_depth= 2,0.3333333333333333,1.6666666666666667,1.0,0.21904761904761902,0.10239756232926181
K-Nearest Neighbor,k= 1,0.3611111111111111,1.4722222222222223,0.9166666666666666,0.3761904761904762,0.14581073683051152
K-Nearest Neighbor,k= 3,0.3055555555555556,1.6111111111111112,1.0,0.29523809523809524,0.14949650948837015
K-Nearest Neighbor,k= 5,0.3333333333333333,1.625,0.9861111111111112,0.2095238095238095,0.09993194963485467
K-Nearest Neighbor,k= 7,0.3611111111111111,1.4722222222222223,0.9166666666666666,0.19523809523809524,0.11272747222038325
K-Nearest Neighbor,k= 9,0.3194444444444444,1.6805555555555556,1.0138888888888888,0.20857142857142855,0.11524990100880643
K-Nearest Neighbor,k= 11,0.3472222222222222,1.6111111111111112,0.9722222222222222,0.27809523809523806,0.17801118464694973
K-Nearest Neighbor,k= 13,0.3472222222222222,1.6111111111111112,0.9722222222222222,0.3485714285714286,0.13792764871909888
K-Nearest Neighbor,k= 15,0.3611111111111111,1.5555555555555556,0.9444444444444444,0.27714285714285714,0.10806061958765985
K-Nearest Neighbor,k= 17,0.3472222222222222,1.6111111111111112,0.9722222222222222,0.29333333333333333,0.0746024991526329
K-Nearest Neighbor,k= 19,0.3472222222222222,1.6111111111111112,0.9722222222222222,0.27714285714285714,0.09816456172742952
Naive Bayes Classifier,N/A,0.3194444444444444,1.7638888888888888,1.0416666666666667,0.25142857142857145,0.14072697549742574
