name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev
Support Vector Machine,N/A,0.36666666666666664,1.8333333333333333,1.0333333333333334,0.3,0.16329931618554522
Decision Tree Classifier,max_depth= 2,0.36666666666666664,1.8333333333333333,1.0333333333333334,0.36666666666666664,0.12472191289246473
K-Nearest Neighbor,k= 1,0.4,1.7,0.9666666666666667,0.5,0.10540925533894598
K-Nearest Neighbor,k= 3,0.43333333333333335,1.6666666666666667,0.9333333333333333,0.3333333333333333,0.10540925533894598
K-Nearest Neighbor,k= 5,0.3333333333333333,1.9666666666666666,1.1,0.29999999999999993,0.12472191289246473
K-Nearest Neighbor,k= 7,0.3,2.1,1.1666666666666667,0.36666666666666664,0.12472191289246472
K-Nearest Neighbor,k= 9,0.3,2.1,1.1666666666666667,0.39999999999999997,0.08164965809277261
K-Nearest Neighbor,k= 11,0.3,2.1,1.1666666666666667,0.36666666666666664,0.12472191289246472
K-Nearest Neighbor,k= 13,0.3,2.1,1.1666666666666667,0.4,0.13333333333333333
K-Nearest Neighbor,k= 15,0.3,2.1,1.1666666666666667,0.39999999999999997,0.08164965809277261
K-Nearest Neighbor,k= 17,0.3,2.1,1.1666666666666667,0.26666666666666666,0.13333333333333336
K-Nearest Neighbor,k= 19,0.3,2.1,1.1666666666666667,0.3333333333333333,0.10540925533894598
Naive Bayes Classifier,N/A,0.36666666666666664,1.6333333333333333,0.9666666666666667,0.26666666666666666,0.16996731711975951
